zhAddress,zhLink,zhName,zhNum,zhTime,zhType
北京,position_detail.php?id=49057&keywords=&tid=0&lid=0,CSIG16-地图数据评测工程师,4,2019-04-12,技术类
北京,position_detail.php?id=49058&keywords=&tid=0&lid=0,CSIG16-服务端接口测试,1,2019-04-12,技术类
北京,position_detail.php?id=49059&keywords=&tid=0&lid=0,CSIG16-地图数据产品经理,1,2019-04-12,产品/项目类
北京,position_detail.php?id=49060&keywords=&tid=0&lid=0,CSIG16-地图数据平台后台高级研发工程师,6,2019-04-12,技术类
北京,position_detail.php?id=49061&keywords=&tid=0&lid=0,CSIG16-web测试工程师,1,2019-04-12,技术类
广州,position_detail.php?id=49062&keywords=&tid=0&lid=0,WXG07-QQ邮箱后台开发工程师,1,2019-04-12,技术类
北京,position_detail.php?id=49051&keywords=&tid=0&lid=0,CSIG16-地图平台高级产品经理,2,2019-04-12,产品/项目类
北京,position_detail.php?id=49052&keywords=&tid=0&lid=0,CSIG16-地图平台产品经理,1,2019-04-12,产品/项目类
北京,position_detail.php?id=49053&keywords=&tid=0&lid=0,CSIG16-地图数据平台后台研发工程师,6,2019-04-12,技术类
北京,position_detail.php?id=49054&keywords=&tid=0&lid=0,CSIG16-POI数据策略高级工程师,2,2019-04-12,技术类
深圳,position_detail.php?id=49076&keywords=&tid=0&lid=0,15605-移动游戏平台运营（深圳）,1,2019-04-12,产品/项目类
深圳,position_detail.php?id=49077&keywords=&tid=0&lid=0,XTB-秘书（深圳）,1,2019-04-12,职能类
深圳,position_detail.php?id=49066&keywords=&tid=0&lid=0,18435-项目经理,1,2019-04-12,产品/项目类
深圳,position_detail.php?id=49067&keywords=&tid=0&lid=0,18435-风控产品经理,2,2019-04-12,产品/项目类
深圳,position_detail.php?id=49068&keywords=&tid=0&lid=0,TME-QQ音乐营收产品策划（深圳）,1,2019-04-12,产品/项目类
美国,position_detail.php?id=49069&keywords=&tid=0&lid=0,25928-游戏AI研究组长/总监（美国）,1,2019-04-12,技术类
深圳,position_detail.php?id=49070&keywords=&tid=0&lid=0,26832-招聘专员(英文/日文),5,2019-04-12,职能类
广州,position_detail.php?id=49063&keywords=&tid=0&lid=0,WXG07-数据挖掘算法工程师（广州）,1,2019-04-12,技术类
北京,position_detail.php?id=49064&keywords=&tid=0&lid=0,WXG10-321 企业微信商务推广经理（北京-快消）,1,2019-04-12,市场类
深圳,position_detail.php?id=49065&keywords=&tid=0&lid=0,18432-理财业务运营分析及商务支持经理,1,2019-04-12,产品/项目类
北京,position_detail.php?id=49088&keywords=&tid=0&lid=0,CSIG16-自动驾驶高精地图（工具研发）（北京),1,2019-04-12,技术类
深圳,position_detail.php?id=49078&keywords=&tid=0&lid=0,18427-iOS移动客户端开发高级工程师,1,2019-04-12,技术类
深圳,position_detail.php?id=49079&keywords=&tid=0&lid=0,27092-应用宝商业化内部合作产品策划（深圳）,1,2019-04-12,产品/项目类
深圳,position_detail.php?id=49080&keywords=&tid=0&lid=0,PCG14-推荐算法工程师（深圳）,1,2019-04-12,技术类
北京,position_detail.php?id=49081&keywords=&tid=0&lid=0,22850-数据分析师（策略分析方向）,1,2019-04-12,市场类
深圳,position_detail.php?id=49082&keywords=&tid=0&lid=0,30630-腾讯广告高级运营经理-销售咨询（北京/深圳）,1,2019-04-12,市场类
深圳,position_detail.php?id=49071&keywords=&tid=0&lid=0,25926-游戏安全高级产品策划（深圳）,1,2019-04-12,产品/项目类
深圳,position_detail.php?id=49072&keywords=&tid=0&lid=0,25926-游戏安全高级产品运营（深圳）,1,2019-04-12,产品/项目类
深圳,position_detail.php?id=49073&keywords=&tid=0&lid=0,TME-腾讯音乐后台策略安全（深圳）,2,2019-04-12,技术类
北京,position_detail.php?id=49074&keywords=&tid=0&lid=0,30625-腾讯广告方案高级策划经理-教育方向（北京）,1,2019-04-12,市场类
深圳,position_detail.php?id=49089&keywords=&tid=0&lid=0,FC-运营类采购商务主管,1,2019-04-12,职能类
上海,position_detail.php?id=49090&keywords=&tid=0&lid=0,30628-腾讯广告企业CRM应用开发工程师（上海）,1,2019-04-12,技术类
广州,position_detail.php?id=49091&keywords=&tid=0&lid=0,WXG09-331 微信海外市场经理（广州）,1,2019-04-12,市场类
深圳,position_detail.php?id=49092&keywords=&tid=0&lid=0,21532-腾讯音乐综合行政专员（深圳）,1,2019-04-12,职能类
深圳,position_detail.php?id=49093&keywords=&tid=0&lid=0,TEG14-社交业务图像处理开发工程师,2,2019-04-12,技术类
深圳,position_detail.php?id=49083&keywords=&tid=0&lid=0,30630-腾讯广告数据分析师-销售支持（深圳）,1,2019-04-12,技术类
北京,position_detail.php?id=49084&keywords=&tid=0&lid=0,22086-体育数据产品经理,1,2019-04-12,产品/项目类
深圳,position_detail.php?id=49085&keywords=&tid=0&lid=0,19511-游戏学院产业研究经理(深圳）,1,2019-04-12,产品/项目类
深圳,position_detail.php?id=49086&keywords=&tid=0&lid=0,TME-TME-QQ音乐创新平台iOS开发工程师（深圳）,1,2019-04-12,技术类
北京,position_detail.php?id=49087&keywords=&tid=0&lid=0,30626-腾讯广告渠道经理（北京）,1,2019-04-12,市场类
深圳,position_detail.php?id=49100&keywords=&tid=0&lid=0,25663-泛互联网业务架构师（深圳/武汉）,2,2019-04-12,技术类
深圳,position_detail.php?id=49101&keywords=&tid=0&lid=0,9615-CDG高级秘书（深圳）,1,2019-04-12,职能类
深圳,position_detail.php?id=49102&keywords=&tid=0&lid=0,TME-全民K歌推荐策略产品经理,1,2019-04-12,产品/项目类
深圳,position_detail.php?id=49103&keywords=&tid=0&lid=0,TME-全民K歌内容安全产品经理,1,2019-04-12,产品/项目类
深圳,position_detail.php?id=49104&keywords=&tid=0&lid=0,CDG-FiT-HRBP（深圳）,1,2019-04-12,职能类
深圳,position_detail.php?id=49094&keywords=&tid=0&lid=0,TME-腾讯音乐质量管理工程师,1,2019-04-12,技术类
深圳,position_detail.php?id=49095&keywords=&tid=0&lid=0,29777-腾讯云移动开发平台高级产品经理（深圳、北京、上海）,2,2019-04-12,产品/项目类
深圳,position_detail.php?id=49096&keywords=&tid=0&lid=0,29777-腾讯云金融行业后台开发高级工程师,2,2019-04-12,技术类
深圳,position_detail.php?id=49097&keywords=&tid=0&lid=0,29777-金融云区块链高级研发工程师（深圳）,2,2019-04-12,技术类
深圳,position_detail.php?id=49099&keywords=&tid=0&lid=0,GY0-【国际业务部】Senior Web Developer（Hong Kong）,1,2019-04-12,技术类
深圳,position_detail.php?id=49120&keywords=&tid=0&lid=0,TEG05-高级安全工程师（应急响应）,1,2019-04-12,技术类
北京,position_detail.php?id=49110&keywords=&tid=0&lid=0,CSIG07-安全技术高级工程师（北京）,2,2019-04-12,技术类
深圳,position_detail.php?id=49111&keywords=&tid=0&lid=0,25927-高级测试开发工程师,1,2019-04-12,技术类
深圳,position_detail.php?id=49112&keywords=&tid=0&lid=0,30359-后台策略安全工程师,1,2019-04-12,技术类
深圳,position_detail.php?id=49113&keywords=&tid=0&lid=0,28481-腾讯医疗售前解决方案架构师（深圳）,1,2019-04-12,技术类
成都,position_detail.php?id=49114&keywords=&tid=0&lid=0,28481-腾讯医疗售前解决方案架构师(成都）,1,2019-04-12,技术类
深圳,position_detail.php?id=49105&keywords=&tid=0&lid=0,31967-企鹅电竞商业化运营经理（商务运营向）,1,2019-04-12,产品/项目类
深圳,position_detail.php?id=49106&keywords=&tid=0&lid=0,27931-产品内容策划(深圳）,1,2019-04-12,产品/项目类
广州,position_detail.php?id=49130&keywords=&tid=0&lid=0,WXG03-小程序推荐算法工程师,1,2019-04-12,技术类
上海,position_detail.php?id=49121&keywords=&tid=0&lid=0,30628-腾讯广告数据管理Web前端工程师（研发中心-上海）,1,2019-04-12,技术类
北京,position_detail.php?id=49122&keywords=&tid=0&lid=0,17759-腾讯视频用户增长BI分析师,1,2019-04-12,市场类
深圳,position_detail.php?id=49123&keywords=&tid=0&lid=0,PCG17-3D动画设计师,1,2019-04-12,设计类
深圳,position_detail.php?id=49124&keywords=&tid=0&lid=0,28297-发行制作人,1,2019-04-12,产品/项目类
深圳,position_detail.php?id=49115&keywords=&tid=0&lid=0,18402-MMO手游平台渠道运营(深圳）,1,2019-04-12,产品/项目类
深圳,position_detail.php?id=49116&keywords=&tid=0&lid=0,18402-RPG手游市场运营（深圳）,1,2019-04-12,产品/项目类
深圳,position_detail.php?id=49117&keywords=&tid=0&lid=0,TEG05-高级安全解决方案工程师（深圳）,1,2019-04-12,技术类
深圳,position_detail.php?id=49118&keywords=&tid=0&lid=0,TEG05-应用运维安全高级工程师,1,2019-04-12,技术类
深圳,position_detail.php?id=49119&keywords=&tid=0&lid=0,TEG05-高级安全工程师（渗透测试/红蓝对抗）,1,2019-04-12,技术类
深圳,position_detail.php?id=49138&keywords=&tid=0&lid=0,22989-云市场商家体系运营经理,1,2019-04-12,产品/项目类
上海,position_detail.php?id=49139&keywords=&tid=0&lid=0,22989-云市场SaaS生态拓展经理(深圳/北京/上海/广州/成都),1,2019-04-12,市场类
深圳,position_detail.php?id=49140&keywords=&tid=0&lid=0,22989-CDN产品架构师,2,2019-04-12,产品/项目类
成都,position_detail.php?id=49131&keywords=&tid=0&lid=0,15575-《圣斗士星矢》高级特效设计师（成都）,1,2019-04-12,设计类
广州,position_detail.php?id=49132&keywords=&tid=0&lid=0,30626-腾讯广告华南渠道销售经理（广州）,1,2019-04-12,市场类
北京,position_detail.php?id=49133&keywords=&tid=0&lid=0,29477-IP采购经理,1,2019-04-12,内容编辑类
深圳,position_detail.php?id=49134&keywords=&tid=0&lid=0,EC-教育创想空间设备运维工程师,1,2019-04-12,技术类
深圳,position_detail.php?id=49126&keywords=&tid=0&lid=0,18796-腾讯即玩云游戏游戏引擎渲染高级工程师(深圳）,1,2019-04-12,技术类
上海,position_detail.php?id=49127&keywords=&tid=0&lid=0,30628-腾讯广告平台高级产品经理（上海）,1,2019-04-12,产品/项目类
深圳,position_detail.php?id=49129&keywords=&tid=0&lid=0,TEG04-Web开发工程师（深圳）,2,2019-04-12,技术类
深圳,position_detail.php?id=49149&keywords=&tid=0&lid=0,25666-投标策略高级经理（深圳）,3,2019-04-12,市场类
深圳,position_detail.php?id=49150&keywords=&tid=0&lid=0,28297-国漫/二次元项目高级运营经理（深圳）,1,2019-04-12,产品/项目类
北京,position_detail.php?id=49141&keywords=&tid=0&lid=0,PCG19-大数据开发工程师（北京）,1,2019-04-12,技术类
深圳,position_detail.php?id=49142&keywords=&tid=0&lid=0,17229-资深原画设计师,2,2019-04-12,设计类
深圳,position_detail.php?id=49143&keywords=&tid=0&lid=0,15687-互娱漫画主笔(深圳),1,2019-04-12,设计类
深圳,position_detail.php?id=49144&keywords=&tid=0&lid=0,15581-华夏手游运营活动策划（深圳）,1,2019-04-12,产品/项目类
